iteration,_is_super,_lambda,_scale_factor,k_ppt1,k_ppt2,k_ppt3,k_ppt4,k_ppt5,k_ppt6,k_ppt7,k_ppt8,k_ppt9,k_ppt10,k_ppt11,k_ppt12,k_ppt13,k_ppt14,k_ppt15,k_ppt16,k_ppt17,k_ppt18,k_ppt19,k_ppt20,k_ppt21,k_ppt22,k_ppt23,k_ppt24,k_ppt25,k_ppt26,k_ppt27,k_ppt28,k_ppt29,k_ppt30,k_ppt31,k_ppt32,k_ppt33,k_ppt34,k_ppt35,k_ppt36,k_ppt37,k_ppt38,k_ppt39,k_ppt40,k_ppt41,k_ppt42,k_ppt43,k_ppt44,k_ppt45,k_ppt46,k_ppt47,k_ppt48,k_ppt49,k_ppt50,k_ppt51,k_ppt52,k_ppt53,k_ppt54,k_ppt55,k_ppt56,k_ppt57,k_ppt58,k_ppt59,k_ppt60,k_ppt61,k_ppt62,k_ppt63,k_ppt64,k_ppt65,k_ppt66,k_ppt67,k_ppt68,k_ppt69,k_ppt70,k_ppt71,k_ppt72,k_ppt73,k_ppt74,k_ppt75,k_ppt76,k_ppt77,k_ppt78,k_ppt79,k_ppt80,k_ppt81,k_ppt82,k_ppt83,k_ppt84,k_ppt85,k_ppt86,k_ppt87,k_ppt88,k_ppt89,k_ppt90,k_ppt91,k_ppt92,k_ppt93,k_ppt94,k_ppt95,k_ppt96,k_ppt97,k_ppt98,k_ppt99,k_ppt100,k_ppt101,k_ppt102,k_ppt103,k_ppt104
0,0,0.1,1,0.999201,1.00003,1,1.00029,1.00003,0.999998,0.999973,0.99713,1.25148,0.996854,1.00062,1.38793,1.01098,0.999737,0.965525,0.856591,0.947642,0.96427,1.00039,1.16528,1.157,0.999623,0.788424,0.841527,0.970863,1.13669,1.00626,0.95652,0.996276,1.00507,1.22793,1.46907,0.932789,0.869649,1.02582,1.00426,1.0893,0.968469,1.28197,1.51587,0.960039,1.13797,0.995266,1.15819,1.22775,1.00807,1.19244,1.45792,1.21806,1.10826,1.02193,2.12017,2.34445,1.01945,1.51022,1.96162,1.03109,1.08314,1.01356,3.28746,3.38327,1.0773,1.58617,1.74874,0.940294,0.833307,1.00981,3.81719,3.84812,1.01071,1.68198,1.42959,1.94342,1.4249,1.00231,0.503399,0.4932,1.0096,1.23165,1.48369,1.71913,1.688,1.01068,0.630598,0.673764,1.02249,1.02719,1.2487,1.06066,1.13518,1.00234,0.915244,0.909537,0.992491,0.892843,0.966166,0.649167,0.570159,0.618592,0.298192,0.2844,0.603205,0.474067,0.484057
0,0,0.1,0.75,0.999401,1.00002,1,1.00022,1.00002,0.999999,0.99998,0.997847,1.18323,0.99764,1.00046,1.27872,1.00823,0.999803,0.97403,0.89039,0.960469,0.973081,1.00029,1.12156,1.11558,0.999717,0.8367,0.87862,0.978067,1.10086,1.00469,0.967209,0.997206,1.0038,1.16649,1.33439,0.949156,0.90055,1.0193,1.0032,1.06625,0.976257,1.20478,1.36614,0.969877,1.10179,0.996447,1.11644,1.16636,1.00604,1.14111,1.32678,1.15945,1.08014,1.0164,1.75703,1.89466,1.01455,1.36233,1.65753,1.02323,1.06173,1.01016,2.44144,2.49461,1.05743,1.41339,1.5207,0.954878,0.872175,1.00735,2.73091,2.74749,1.00802,1.47695,1.3074,1.64598,1.30418,1.00173,0.597633,0.588528,1.00719,1.16914,1.34433,1.50135,1.48091,1.008,0.707643,0.743671,1.01682,1.02033,1.18125,1.04515,1.09976,1.00175,0.935735,0.931355,0.994363,0.918505,0.974516,0.723215,0.656141,0.697515,0.403526,0.389445,0.684461,0.571321,0.580326
0,0,1,1,0.988079,0.998557,1.00005,1.0018,0.999745,0.999935,1.00013,0.890169,1.03301,1.04841,0.996937,1.09988,1.08988,1.01015,0.897059,0.844172,1.03364,1.04229,0.988897,1.15643,1.15371,0.975982,0.855793,0.841842,0.990046,0.999018,0.891364,0.934246,0.955925,1.04699,1.31352,1.3932,0.972009,0.994567,1.01289,0.961401,1.00044,1.20647,1.25932,1.38712,0.973987,1.03372,1.05597,1.09284,1.1483,1.20386,1.21942,1.33609,1.0705,1.18908,1.55175,1.88528,1.99829,1.34497,1.65253,1.76773,0.917864,1.0558,1.5727,2.69033,2.84336,1.91985,1.56819,1.62753,0.851072,0.913144,1.12156,3.06662,3.17076,1.00871,1.31643,1.3764,1.77414,1.63569,1.09474,0.547069,0.543783,1.09269,1.26691,1.39987,1.6282,1.40425,0.946899,0.679671,0.65795,0.821941,1.08999,1.20751,1.21756,1.08753,1.2785,0.896251,0.86867,0.922802,0.932862,0.962178,0.655078,0.590072,0.52246,0.334213,0.320211,0.468638,0.499547,0.50235
0,0,1,0.75,0.991046,0.998917,1.00004,1.00135,0.999809,0.999951,1.00009,0.916441,1.02465,1.03609,0.997702,1.07401,1.06668,1.00761,0.921755,0.88069,1.02513,1.03155,0.991661,1.11517,1.11319,0.981932,0.889767,0.878867,0.992525,0.999264,0.917363,0.950268,0.966758,1.03504,1.22696,1.28236,0.978932,0.995922,1.00965,0.970909,1.00033,1.15116,1.18878,1.27816,0.980426,1.02519,1.04169,1.06885,1.10928,1.1493,1.16042,1.24273,1.05242,1.1387,1.39033,1.60891,1.68072,1.24892,1.45751,1.53307,0.937743,1.04156,1.40438,2.10065,2.18964,1.63098,1.40136,1.44094,0.886084,0.934124,1.08985,2.31737,2.37614,1.00652,1.22899,1.27074,1.53724,1.44636,1.07025,0.636109,0.633241,1.06874,1.19415,1.28696,1.44139,1.28998,0.959904,0.748555,0.730541,0.863238,1.06676,1.15191,1.15909,1.06495,1.20234,0.921133,0.89979,0.941524,0.949211,0.971497,0.728148,0.673254,0.614525,0.439559,0.425674,0.566406,0.5942,0.596698
0,0,10,1,0.994036,1.00341,1.00035,0.997785,1.02489,1.00009,0.997014,0.959367,1.04075,1.03842,1.04137,1.05167,1.04158,1.01417,0.920146,0.89674,1.05028,1.0493,1.03096,1.07743,1.07719,1.03281,0.906207,0.907022,0.998682,1.00204,1.01717,0.987976,1.00766,1.09772,1.25256,1.32929,0.998998,1.01082,1.02833,0.982172,1.01631,1.14871,1.23648,1.35706,1.02127,1.05657,1.1247,1.05202,1.09543,1.26507,1.22782,1.34933,1.10637,1.18243,1.33421,1.71214,1.79289,1.54065,1.51397,1.64194,1.01689,1.11095,1.45056,2.12836,2.22213,1.69243,1.50784,1.60117,0.969868,1.01089,1.35072,2.23705,2.29232,1.48735,1.34659,1.42559,1.49851,1.41965,1.10565,0.703673,0.698798,1.05774,1.13887,1.20972,1.42126,1.2883,0.988415,0.794942,0.772655,0.894416,1.04174,1.09216,1.15242,1.07746,0.887333,0.929518,0.903556,0.813889,0.946876,0.930205,0.634981,0.603617,0.585216,0.428408,0.411846,0.529149,0.517276,0.492848
0,0,10,0.75,0.995524,1.00255,1.00026,0.998338,1.01861,1.00007,0.99776,0.969368,1.03041,1.02868,1.03087,1.03851,1.03103,1.01061,0.939491,0.92151,1.03748,1.03675,1.02313,1.05753,1.05735,1.02451,0.928796,0.929423,0.999011,1.00153,1.01285,0.990968,1.00574,1.07243,1.18399,1.23798,0.999248,1.0081,1.02117,0.986599,1.01221,1.10958,1.17257,1.25733,1.01591,1.04213,1.09214,1.03877,1.07075,1.19285,1.16641,1.25196,1.07876,1.13392,1.24142,1.49677,1.54941,1.38286,1.36486,1.4505,1.01264,1.08211,1.32176,1.76211,1.82002,1.48382,1.36072,1.4234,0.977315,1.00816,1.25292,1.82918,1.86298,1.34682,1.25005,1.30466,1.35439,1.30058,1.07823,0.768295,0.7643,1.043,1.10244,1.15349,1.30168,1.20924,0.991299,0.841882,0.824118,0.919718,1.03114,1.06835,1.11227,1.05755,0.91425,0.946658,0.926758,0.856887,0.959887,0.947183,0.711329,0.684811,0.669094,0.529533,0.514104,0.620417,0.609947,0.588213
0,0,100,1,1.0067,1.00533,1.0001,1.00362,1.00165,0.9997,0.993241,0.987782,1.01566,1.01351,1.01433,1.00816,1.00521,0.999492,0.972728,0.969138,1.03064,1.02739,1.03239,1.02088,1.02138,1.02661,0.977699,0.988514,1.06769,1.06279,1.06089,1.07473,1.08312,1.09272,1.15288,1.19884,1.08068,1.07607,1.08246,1.07431,1.08852,1.12943,1.16047,1.23017,1.09753,1.09656,1.12251,1.09049,1.10706,1.17383,1.16246,1.24188,1.16283,1.16817,1.19939,1.30322,1.32522,1.26359,1.26963,1.35972,1.1512,1.16152,1.23062,1.37687,1.39869,1.30162,1.2943,1.37702,1.11835,1.11778,1.1769,1.36156,1.37334,1.21878,1.24321,1.30286,1.12101,1.10461,1.0597,0.930822,0.927832,1.04013,1.01075,1.02963,1.09338,1.06804,0.994144,0.943268,0.932613,0.955411,0.986549,0.983965,1.02054,1.01202,0.939808,0.967042,0.955673,0.907945,0.966827,0.932493,0.753495,0.75432,0.772844,0.694215,0.681338,0.737205,0.69858,0.660649
0,0,100,0.75,1.00502,1.00399,1.00007,1.00271,1.00124,0.999775,0.994927,0.990822,1.01172,1.01011,1.01073,1.00611,1.00391,0.999619,0.979475,0.976763,1.02289,1.02047,1.0242,1.01562,1.01599,1.01989,0.983227,0.991373,1.05035,1.04673,1.04533,1.05554,1.06171,1.06876,1.1126,1.1457,1.05992,1.05653,1.06123,1.05523,1.06568,1.09558,1.11809,1.16808,1.07229,1.07158,1.09054,1.06713,1.07926,1.12772,1.11952,1.17642,1.11979,1.12365,1.1461,1.21973,1.23514,1.1918,1.19607,1.25918,1.11138,1.11884,1.16841,1.27107,1.28615,1.21861,1.21346,1.27118,1.08751,1.0871,1.12994,1.26046,1.26862,1.15996,1.17736,1.21948,1.08945,1.07748,1.04445,0.947654,0.94537,1.02995,1.00805,1.02214,1.06925,1.05061,0.995605,0.957142,0.949021,0.966368,0.989895,0.98795,1.01536,1.009,0.954507,0.975179,0.966567,0.930132,0.975016,0.94893,0.808742,0.809406,0.824269,0.760537,0.749932,0.795593,0.764121,0.732787
0,0,1000,1,1.00072,1.00067,1.00083,1.00053,1.00027,0.99998,0.999117,0.998465,1.00128,1.00111,1.0029,1.00055,1.00019,1.00096,0.995633,0.995843,1.00628,1.00539,1.00998,1.00447,1.00456,1.00935,0.998595,1.00233,1.02975,1.02731,1.02347,1.02947,1.0306,1.02781,1.03868,1.04909,1.03441,1.03134,1.03118,1.0316,1.03352,1.03738,1.04182,1.05691,1.03691,1.03381,1.03794,1.03344,1.03559,1.04447,1.04187,1.0592,1.05004,1.04715,1.04919,1.0612,1.06362,1.05671,1.05814,1.07692,1.0501,1.04766,1.05302,1.06915,1.07143,1.06117,1.06259,1.08038,1.04337,1.04024,1.04321,1.06507,1.0663,1.04824,1.05527,1.06933,1.02654,1.02312,1.02142,1.00252,1.00202,1.01865,1.00977,1.01649,1.02102,1.01714,1.00873,1.00216,1.00052,1.00308,1.00572,1.00765,1.01073,1.00947,0.998183,1.00391,1.0022,0.993287,1.00311,0.999118,0.960595,0.96129,0.967293,0.951786,0.949133,0.960418,0.9499,0.942285
0,0,1000,0.75,1.00054,1.0005,1.00062,1.0004,1.0002,0.999985,0.999338,0.998849,1.00096,1.00083,1.00217,1.00041,1.00015,1.00072,0.996723,0.99688,1.00471,1.00404,1.00747,1.00335,1.00342,1.007,0.998946,1.00175,1.02223,1.02041,1.01755,1.02202,1.02286,1.02078,1.02887,1.0366,1.0257,1.02342,1.0233,1.02361,1.02503,1.02791,1.03121,1.04239,1.02756,1.02526,1.02832,1.02498,1.02657,1.03317,1.03124,1.04408,1.0373,1.03516,1.03667,1.04556,1.04734,1.04224,1.04329,1.05716,1.03734,1.03554,1.03951,1.05143,1.05311,1.04553,1.04658,1.0597,1.03235,1.03003,1.03223,1.04842,1.04932,1.03597,1.04117,1.05156,1.01984,1.01729,1.01603,1.00189,1.00151,1.01396,1.00732,1.01234,1.01572,1.01283,1.00654,1.00162,1.00039,1.00231,1.00429,1.00574,1.00803,1.00709,0.998637,1.00293,1.00165,0.994961,1.00233,0.999338,0.970298,0.970825,0.975368,0.963617,0.961602,0.970164,0.962185,0.956393
1,1,0.1,1,1.00367,1.00431,1.00587,1.00782,1.00549,0.998605,0.991303,0.980033,1.19509,1.00861,1.01456,1.31269,1.03143,0.997625,0.942679,0.851235,0.96936,0.983644,1.01095,1.16281,1.15667,1.00284,0.802305,0.839696,0.964434,1.08906,0.996767,0.934803,0.971079,1.0246,1.25267,1.45871,0.929585,0.890784,1.01528,0.96059,1.03507,1.01433,1.28157,1.49496,0.954476,1.11588,1.05567,1.12292,1.19432,1.12121,1.22472,1.45782,1.19588,1.179,1.21877,2.52935,2.79011,1.30684,1.69273,2.07991,0.976603,1.09373,1.29059,4.22622,4.41232,1.4647,1.72045,1.8421,0.875317,0.831464,1.21847,4.9948,5.08252,1.27866,1.64496,1.46736,2.20315,1.66464,1.03652,0.420751,0.411489,1.00722,1.29721,1.5655,1.89966,1.72656,0.980341,0.548283,0.565486,0.92639,1.02546,1.26121,1.18652,1.15923,0.971811,0.862992,0.845656,0.915686,0.874136,0.977121,0.812556,0.686356,0.657539,0.337581,0.321842,0.624717,0.58038,0.62709
1,0,0.1,0.75,1.0026,1.00324,1.0044,1.00591,1.00412,0.998953,0.993465,0.984456,1.19211,1.00586,1.01102,1.30411,1.02558,0.998169,0.950421,0.860859,0.96713,0.980993,1.00827,1.15236,1.14626,1.00206,0.810769,0.849263,0.967825,1.092,0.998741,0.942801,0.977546,1.01936,1.23055,1.42659,0.934439,0.893215,1.01629,0.971068,1.04278,1.00468,1.26193,1.46166,0.958303,1.11234,1.04055,1.1213,1.18727,1.09124,1.20326,1.4239,1.18667,1.15347,1.16469,2.30915,2.53279,1.22669,1.60329,1.96517,0.988055,1.08564,1.21391,3.68448,3.82605,1.35013,1.63794,1.75589,0.894563,0.84146,1.16187,4.29502,4.35806,1.20485,1.60125,1.42563,2.04828,1.56612,1.02771,0.459333,0.449998,1.00721,1.26393,1.50701,1.79113,1.66157,0.987185,0.584396,0.605566,0.948214,1.02418,1.24073,1.14948,1.14407,0.979211,0.88063,0.866312,0.934751,0.885023,0.976469,0.789236,0.678674,0.667313,0.352981,0.337555,0.639146,0.578102,0.615057
1,1,1,1,1.00456,1.00466,1.00548,1.00673,1.00442,0.998322,0.991782,0.981395,1.19804,1.01003,1.01362,1.30723,1.02719,0.996909,0.94454,0.854254,0.973058,0.986299,1.01074,1.1559,1.14974,1.00267,0.805003,0.843836,0.966041,1.08999,0.998726,0.940802,0.977131,1.02597,1.25165,1.45893,0.933764,0.893527,1.01733,0.963911,1.03833,1.01541,1.28347,1.49905,0.9612,1.12063,1.05457,1.11958,1.19019,1.11855,1.22795,1.46511,1.19854,1.17642,1.21062,2.49551,2.75095,1.2955,1.68261,2.07517,0.987215,1.09905,1.2771,4.09773,4.27592,1.44599,1.71993,1.85035,0.88876,0.841531,1.2094,4.79731,4.88018,1.26755,1.65688,1.48151,2.15895,1.63767,1.03952,0.435899,0.426443,1.01157,1.28277,1.54205,1.87028,1.71117,0.986494,0.562084,0.580171,0.934453,1.02222,1.24898,1.17841,1.15841,0.976837,0.870521,0.853469,0.922118,0.877112,0.974245,0.803421,0.6831,0.661596,0.343333,0.327386,0.628936,0.577511,0.619363
1,0,1,0.75,1.00327,1.0035,1.00411,1.0051,1.00332,0.998741,0.993825,0.985482,1.19432,1.00692,1.01032,1.30004,1.02242,0.997632,0.951828,0.863148,0.969896,0.982977,1.00812,1.14722,1.14111,1.00193,0.812813,0.852401,0.969034,1.0927,1.00021,0.947335,0.982111,1.02039,1.22979,1.42675,0.937588,0.895278,1.01782,0.973586,1.04524,1.00548,1.26333,1.46466,0.963362,1.11589,1.03973,1.1188,1.18419,1.0893,1.20564,1.42923,1.18865,1.15157,1.15884,2.28594,2.50608,1.2187,1.59609,1.9618,0.996097,1.0896,1.20439,3.60013,3.737,1.33717,1.63756,1.76178,0.904848,0.84909,1.15537,4.16702,4.22728,1.19699,1.60994,1.43592,2.01738,1.54705,1.02994,0.471681,0.462208,1.01047,1.25337,1.49005,1.77031,1.65045,0.991827,0.595394,0.617322,0.954397,1.02174,1.23169,1.14358,1.14346,0.983007,0.886385,0.872308,0.939672,0.887282,0.974313,0.782572,0.676258,0.670398,0.357482,0.341906,0.64238,0.575957,0.609364
1,1,10,1,1.00626,1.00505,1.0039,1.00307,1.00108,0.997852,0.994,0.986926,1.2038,1.01217,1.01013,1.28901,1.01344,0.995857,0.952579,0.86639,0.982264,0.992752,1.01188,1.13473,1.12865,1.00494,0.816496,0.8603,0.979538,1.10232,1.01239,0.971111,1.0074,1.03551,1.24989,1.45999,0.954812,0.908654,1.03292,0.992591,1.06676,1.02406,1.29101,1.5119,0.989256,1.138,1.05167,1.12604,1.19283,1.10487,1.23464,1.485,1.22208,1.17036,1.16428,2.27089,2.49088,1.22658,1.62404,2.03558,1.04589,1.12651,1.20236,3.44414,3.57759,1.3366,1.69426,1.86357,0.957621,0.890157,1.15847,3.89336,3.95112,1.20172,1.68989,1.52876,1.95733,1.51138,1.05134,0.516486,0.506297,1.0326,1.2262,1.45043,1.7329,1.63693,1.01664,0.635349,0.659092,0.979151,1.01688,1.20842,1.13893,1.15329,1.00184,0.910741,0.896116,0.95785,0.897797,0.970601,0.762801,0.668858,0.681235,0.371244,0.354584,0.650442,0.564987,0.586194
1,0,10,0.75,1.00454,1.00379,1.00292,1.00236,1.00081,0.998388,0.995492,0.989645,1.19862,1.00852,1.0077,1.28643,1.01214,0.996842,0.957898,0.872328,0.976769,0.987797,1.00897,1.13142,1.12537,1.00363,0.821501,0.864844,0.97917,1.10195,1.01046,0.970134,1.00484,1.02749,1.2285,1.42752,0.953395,0.906621,1.0295,0.995231,1.06664,1.0119,1.26889,1.47406,0.984375,1.12883,1.03759,1.12363,1.18616,1.07929,1.21056,1.44376,1.20611,1.14712,1.1254,2.12981,2.3262,1.16974,1.55424,1.93367,1.04017,1.10995,1.15112,3.16026,3.26922,1.26056,1.6192,1.77121,0.956935,0.885627,1.11869,3.56304,3.60807,1.15006,1.63394,1.47013,1.87436,1.45668,1.03871,0.535676,0.525709,1.02619,1.21168,1.42315,1.67186,1.59644,1.01447,0.652699,0.679289,0.988435,1.01774,1.20157,1.11473,1.13967,1.00182,0.916926,0.904799,0.96685,0.902929,0.971579,0.752706,0.665656,0.685269,0.379064,0.362995,0.658785,0.566564,0.584722
