iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,50,0,0,3021.16,0,0
0,50,1,1,6375.21,0,0
0,50,2,2,3690.71,0,0
0,50,3,3,105710,0,0
0,50,4,4,4181.71,0,0
0,50,5,5,5027.66,0,0
0,50,6,6,16511,0,0
0,50,7,7,5361.09,0,0
0,50,8,8,661.118,0,0
0,50,9,9,4561.69,0,0
0,50,10,10,2862.91,0,0
0,50,11,11,2314.92,0,0
0,50,12,12,6332.33,0,0
0,50,13,13,105703,0,0
0,50,14,14,29756.7,0,0
0,50,15,15,4944.75,0,0
0,50,16,16,2616.28,0,0
0,50,17,17,1962.93,0,0
0,50,18,18,4549.97,0,0
0,50,19,19,8823.22,0,0
0,50,20,20,2294.03,0,0
0,50,21,21,854.802,0,0
0,50,22,22,2114.94,0,0
0,50,23,23,7980.92,0,0
0,50,24,24,18615.6,0,0
0,50,25,25,3309.14,0,0
0,50,26,26,858.852,0,0
0,50,27,27,2412.09,0,0
0,50,28,28,3392.55,0,0
0,50,29,29,8360.58,0,0
0,50,30,30,5048.95,0,0
0,50,31,31,4953.71,0,0
0,50,32,32,1436.33,0,0
0,50,33,33,355.957,0,0
0,50,34,34,2904.1,0,0
0,50,35,35,4788.03,0,0
0,50,36,36,4475.34,0,0
0,50,37,37,10767.4,0,0
0,50,38,38,2764.03,0,0
0,50,39,39,660.403,0,0
0,50,40,40,208.508,0,0
0,50,41,41,33926.4,0,0
0,50,42,42,42399.8,0,0
0,50,43,43,4844.36,0,0
0,50,44,44,42265,0,0
0,50,45,45,13920.1,0,0
0,50,46,46,3710.76,0,0
0,50,47,47,1053.79,0,0
0,50,48,48,9782.77,0,0
0,50,base,base,238.897,0,0
1,116,0,0,83.4177,0,0
1,116,1,1,245.464,0,0
1,116,2,2,86.6313,0,0
1,116,3,3,1892.75,0,0
1,116,4,4,343.993,0,0
1,116,5,5,439.091,0,0
1,116,6,6,461.485,0,0
1,116,7,7,813.674,0,0
1,116,8,8,50.6046,0,0
1,116,9,9,228.107,0,0
1,116,10,10,168.426,0,0
1,116,11,11,852.471,0,0
1,116,12,12,1209.29,0,0
1,116,13,13,2644.48,0,0
1,116,14,14,2748.76,0,0
1,116,15,15,40.1661,0,0
1,116,16,16,497.461,0,0
1,116,17,17,80.3827,0,0
1,116,18,18,234.443,0,0
1,116,19,19,2680.43,0,0
1,116,20,20,29.6029,0,0
1,116,21,21,1721.24,0,0
1,116,22,22,245.303,0,0
1,116,23,23,1788.32,0,0
1,116,24,24,3424.44,0,0
1,116,25,25,209.113,0,0
1,116,26,26,180.48,0,0
1,116,27,27,181.742,0,0
1,116,28,28,978.978,0,0
1,116,29,29,2413.63,0,0
1,116,30,30,183.332,0,0
1,116,31,31,69.1583,0,0
1,116,32,32,278.135,0,0
1,116,33,33,65.7099,0,0
1,116,34,34,82.1125,0,0
1,116,35,35,448.59,0,0
1,116,36,36,187.718,0,0
1,116,37,37,55.9948,0,0
1,116,38,38,230.113,0,0
1,116,39,39,90.1759,0,0
1,116,40,40,186.61,0,0
1,116,41,41,1066.05,0,0
1,116,42,42,690.533,0,0
1,116,43,43,637.065,0,0
1,116,44,44,889.074,0,0
1,116,45,45,1097.75,0,0
1,116,46,46,582.125,0,0
1,116,47,47,196.978,0,0
1,116,48,48,145.142,0,0
1,116,base,base,144.35,0,0
2,182,0,0,68.7102,0,0
2,182,1,1,84.8723,0,0
2,182,2,2,22.25,0,0
2,182,3,3,201.923,0,0
2,182,4,4,109.108,0,0
2,182,5,5,96.2465,0,0
2,182,6,6,411.828,0,0
2,182,7,7,82.2085,0,0
2,182,8,8,37.6821,0,0
2,182,9,9,168.475,0,0
2,182,10,10,82.0778,0,0
2,182,11,11,154.693,0,0
2,182,12,12,507.642,0,0
2,182,13,13,42.4065,0,0
2,182,14,14,204.819,0,0
2,182,15,15,55.3273,0,0
2,182,16,16,312.406,0,0
2,182,17,17,188.655,0,0
2,182,18,18,116.725,0,0
2,182,19,19,178.634,0,0
2,182,20,20,73.4071,0,0
2,182,21,21,241.838,0,0
2,182,22,22,53.7283,0,0
2,182,23,23,189.562,0,0
2,182,24,24,177.897,0,0
2,182,25,25,225.547,0,0
2,182,26,26,11.8652,0,0
2,182,27,27,196.592,0,0
2,182,28,28,26.9742,0,0
2,182,29,29,537.799,0,0
2,182,30,30,477.809,0,0
2,182,31,31,45.4867,0,0
2,182,32,32,258.275,0,0
2,182,33,33,35.1606,0,0
2,182,34,34,99.2488,0,0
2,182,35,35,108.304,0,0
2,182,36,36,34.7043,0,0
2,182,37,37,171.658,0,0
2,182,38,38,129.791,0,0
2,182,39,39,402.859,0,0
2,182,40,40,20.92,0,0
2,182,41,41,231.145,0,0
2,182,42,42,368.549,0,0
2,182,43,43,186.388,0,0
2,182,44,44,87.9832,0,0
2,182,45,45,148.74,0,0
2,182,46,46,149.598,0,0
2,182,47,47,111.704,0,0
2,182,48,48,152.426,0,0
2,182,base,base,14.5345,0,0
3,248,0,0,20.2902,0,0
3,248,1,1,39.111,0,0
3,248,2,2,16.5042,0,0
3,248,3,3,53.0179,0,0
3,248,4,4,25.9162,0,0
3,248,5,5,18.8389,0,0
3,248,6,6,36.2987,0,0
3,248,7,7,17.4131,0,0
3,248,8,8,22.2997,0,0
3,248,9,9,12.7188,0,0
3,248,10,10,43.927,0,0
3,248,11,11,25.9438,0,0
3,248,12,12,18.6384,0,0
3,248,13,13,39.5848,0,0
3,248,14,14,19.9532,0,0
3,248,15,15,20.1521,0,0
3,248,16,16,20.4577,0,0
3,248,17,17,15.8846,0,0
3,248,18,18,18.4076,0,0
3,248,19,19,24.3393,0,0
3,248,20,20,16.2413,0,0
3,248,21,21,50.3481,0,0
3,248,22,22,11.0378,0,0
3,248,23,23,17.9896,0,0
3,248,24,24,34.7918,0,0
3,248,25,25,11.3471,0,0
3,248,26,26,17.1216,0,0
3,248,27,27,27.2689,0,0
3,248,28,28,22.1725,0,0
3,248,29,29,68.0771,0,0
3,248,30,30,25.0502,0,0
3,248,31,31,11.2572,0,0
3,248,32,32,21.1879,0,0
3,248,33,33,32.7413,0,0
3,248,34,34,13.6827,0,0
3,248,35,35,22.1972,0,0
3,248,36,36,25.1732,0,0
3,248,37,37,24.8195,0,0
3,248,38,38,30.0217,0,0
3,248,39,39,27.4451,0,0
3,248,40,40,24.7256,0,0
3,248,41,41,17.7814,0,0
3,248,42,42,21.9999,0,0
3,248,43,43,45.6969,0,0
3,248,44,44,15.0623,0,0
3,248,45,45,26.229,0,0
3,248,46,46,25.3114,0,0
3,248,47,47,24.3322,0,0
3,248,48,48,10.5863,0,0
3,248,base,base,7.54505,0,0
4,314,0,0,12.8127,0,0
4,314,1,1,26.2994,0,0
4,314,2,2,10.4586,0,0
4,314,3,3,20.5212,0,0
4,314,4,4,13.8792,0,0
4,314,5,5,18.8053,0,0
4,314,6,6,26.3425,0,0
4,314,7,7,12.3356,0,0
4,314,8,8,25.4871,0,0
4,314,9,9,9.27358,0,0
4,314,10,10,26.6431,0,0
4,314,11,11,16.6049,0,0
4,314,12,12,13.3904,0,0
4,314,13,13,16.1601,0,0
4,314,14,14,15.4532,0,0
4,314,15,15,13.4891,0,0
4,314,16,16,11.8503,0,0
4,314,17,17,9.04267,0,0
4,314,18,18,12.2848,0,0
4,314,19,19,12.215,0,0
4,314,20,20,15.1455,0,0
4,314,21,21,32.0064,0,0
4,314,22,22,9.158,0,0
4,314,23,23,14.432,0,0
4,314,24,24,13.5503,0,0
4,314,25,25,9.82358,0,0
4,314,26,26,13.9152,0,0
4,314,27,27,22.4259,0,0
4,314,28,28,11.9653,0,0
4,314,29,29,20.3784,0,0
4,314,30,30,20.3287,0,0
4,314,31,31,7.76398,0,0
4,314,32,32,15.4014,0,0
4,314,33,33,20.2236,0,0
4,314,34,34,9.94183,0,0
4,314,35,35,16.9514,0,0
4,314,36,36,15.4787,0,0
4,314,37,37,12.3668,0,0
4,314,38,38,14.0145,0,0
4,314,39,39,17.0994,0,0
4,314,40,40,18.6388,0,0
4,314,41,41,17.1424,0,0
4,314,42,42,9.96122,0,0
4,314,43,43,28.8342,0,0
4,314,44,44,14.0456,0,0
4,314,45,45,20.6617,0,0
4,314,46,46,15.5618,0,0
4,314,47,47,13.0165,0,0
4,314,48,48,7.41179,0,0
4,314,base,base,4.43841,0,0
5,380,0,0,10.3688,0,0
5,380,1,1,30.1324,0,0
5,380,2,2,9.57827,0,0
5,380,3,3,10.0422,0,0
5,380,4,4,14.1274,0,0
5,380,5,5,14.1939,0,0
5,380,6,6,23.8919,0,0
5,380,7,7,10.222,0,0
5,380,8,8,14.7,0,0
5,380,9,9,6.97782,0,0
5,380,10,10,30.4073,0,0
5,380,11,11,13.5999,0,0
5,380,12,12,10.6406,0,0
5,380,13,13,10.9729,0,0
5,380,14,14,14.0869,0,0
5,380,15,15,9.79656,0,0
5,380,16,16,8.84376,0,0
5,380,17,17,8.57118,0,0
5,380,18,18,9.68078,0,0
5,380,19,19,13.8219,0,0
5,380,20,20,14.6594,0,0
5,380,21,21,26.2173,0,0
5,380,22,22,9.61289,0,0
5,380,23,23,12.6586,0,0
5,380,24,24,8.34265,0,0
5,380,25,25,10.7267,0,0
5,380,26,26,10.4779,0,0
5,380,27,27,17.6382,0,0
5,380,28,28,10.1713,0,0
5,380,29,29,14.5182,0,0
5,380,30,30,16.8915,0,0
5,380,31,31,7.42612,0,0
5,380,32,32,12.6883,0,0
5,380,33,33,16.6807,0,0
5,380,34,34,10.5375,0,0
5,380,35,35,7.52464,0,0
5,380,36,36,10.4695,0,0
5,380,37,37,14.5897,0,0
5,380,38,38,11.5309,0,0
5,380,39,39,11.061,0,0
5,380,40,40,16.2173,0,0
5,380,41,41,18.1674,0,0
5,380,42,42,12.2225,0,0
5,380,43,43,17.105,0,0
5,380,44,44,12.6977,0,0
5,380,45,45,16.3143,0,0
5,380,46,46,14.8394,0,0
5,380,47,47,10.3454,0,0
5,380,48,48,5.95868,0,0
5,380,base,base,2.56012,0,0
